질병코드,한글명,영문명,카테고리
D05,유방의 피부의 제자리암종(D04.5),Carcinoma in situ of skin of breast(D04.5),암
D05.0,유방의 소엽 제자리암종,Lobular carcinoma in situ of breast,암
D05.00,"유방의 소엽 제자리암종, 오른쪽","Lobular carcinoma in situ of breast, right",암
D05.01,"유방의 소엽 제자리암종, 왼쪽","Lobular carcinoma in situ of breast, left",암
D05.09,"유방의 소엽 제자리암종, 상세불명 쪽","Lobular carcinoma in situ of breast, unspecified side",암
D05.1,유방의 관내 제자리암종,Intraductal carcinoma in situ of breast,암
D05.10,"유방의 관내 제자리암종, 오른쪽","Intraductal carcinoma in situ of breast, right",암
D05.11,"유방의 관내 제자리암종, 왼쪽","Intraductal carcinoma in situ of breast, left",암
D05.19,"유방의 관내 제자리암종, 상세불명 쪽","Intraductal carcinoma in situ of breast, unspecified side",암
D05.7,기타 유방의 제자리암종,Other carcinoma in situ of breast,암
D05.70,"기타 유방의 제자리암종, 오른쪽","Other carcinoma in situ of breast, right",암
D05.71,"기타 유방의 제자리암종, 왼쪽","Other carcinoma in situ of breast, left",암
D05.79,"기타 유방의 제자리암종, 상세불명 쪽","Other carcinoma in situ of breast, unspecified side",암
D05.9,상세불명의 유방의 제자리암종,"Carcinoma in situ of breast, unspecified",암
D05.90,"상세불명의 유방의 제자리암종, 오른쪽","Carcinoma in situ of breast, unspecified, right",암
D05.91,"상세불명의 유방의 제자리암종, 왼쪽","Carcinoma in situ of breast, unspecified, left",암
D05.99,"상세불명의 유방의 제자리암종, 상세불명 쪽","Carcinoma in situ of breast, unspecified, unspecified side",암
D06,자궁경부의 제자리암종,Carcinoma in situ of cervix uteri,암
D06.0,자궁경부내막의 제자리암종,Carcinoma in situ of endocervix,암
D06.1,외자궁경부의 제자리암종,Carcinoma in situ of exocervix,암
D06.7,자궁경부의 기타 부분의 제자리암종,Carcinoma in situ of other parts of cervix,암
D06.9,상세불명의 자궁경부의 제자리암종,"Carcinoma in situ of cervix, unspecified",암
D07,기타 및 상세불명의 생식기관의 제자리암종,Carcinoma in situ of other and unspecified genital organs,암
D07.0,자궁내막의 제자리암종 ,Carcinoma in situ of endometrium,암
D07.1,외음의 제자리암종,Carcinoma in situ of vulva,암
D07.2,질의 제자리암종 ,Carcinoma in situ of vagina,암
D07.3,기타 및 상세불명의 여성생식기관의 제자리 암종,Carcinoma in situ of other and unspecified female genital organs,암
D07.4,음경의 제자리암종,Carcinoma in situ of penis,암
D07.5,전립선의 제자리암종,Carcinoma in situ of prostate,암
D09,기타 및 상세불명 부위의 제자리암종,Carcinoma in situ of other and unspecified sites,암
D09.0,방광의 제자리암종 ,Carcinoma in situ of bladder,암
D09.1,기타 및 상세불명의 비뇨기관의 제자리암종 ,Carcinoma in situ of other and unspecified urinary organs,암
D09.2,눈의 제자리암종 ,Carcinoma in situ of eye,암
D09.2,눈꺼풀의 피부의 제자리암종(D04.1),Carcinoma in situ of skin of eyelid(D04.1),암
D09.3,갑상선 및 기타 내분비선의 제자리암종,Carcinoma in situ of thyroid and other endocrine glands,암
D09.3,고환의 제자리암종(D07.6),Carcinoma in situ of testis(D07.6),암
D09.3,난소의 제자리암종(D07.3),Carcinoma in situ of ovary(D07.3),암
D09.3,내분비췌장의 제자리암종(D01.70),Carcinoma in situ of endocrine pancreas(D01.70),암
D09.30,갑상선의 제자리암종,Carcinoma in situ of thyroid,암
D09.38,기타 및 상세불명 내분비선의 제자리암종,Carcinoma in situ of other and unspecified endocrine glands,암
D09.7,기타 명시된 부위의 제자리암종,Carcinoma in situ of other specified sites,암
D09.9,상세불명의 제자리암종,"Carcinoma in situ, unspecified",암
D15.1,심장의 양성 신생물 ,Benign neoplasm of heart,심장
D15.1,심장내점액종,Intracardiac myxoma,심장
D21.3,심장의 양성 신생물(D15.1),Benign neoplasms of heart(D15.1),심장
D32.0,뇌막의 양성 신생물 ,Benign neoplasm of cerebral meninges,뇌혈관
D33.0,뇌실의 양성 신생물,Benign neoplasms of cerebral ventricle,뇌혈관
D37-D48,"항목 D37-D48은 행동양식이 불명 또는 미상인, 즉 그 신생물이 악성인지 양성인지 의심이 되는 신생물들을 부위에 따라 분류한다. 이런 신생물들은 형태분류에서는 행동양식분류코드 /1을 준다. 단 D45, D46, D47.1, D47.3, D47.4, D47.5는 ICD-O 제3판에서는 행동양식분류코드 /3인 악성 형태분류코드로 재분류된다.","Categories D37-D48 classify by site neoplasms of uncertain or unknown behaviour, i.e., there is doubt whether the neoplasm is malignant or benign. Such neoplasms are assigned behaviour code /1 in the classification of the morphology of neoplasms.",암
D38,심장의 행동양식 불명 또는 미상의 신생물(D48.7),Neoplasm of uncertain or unknown behaviour of heart(D48.7),심장
D39.2,악성 포상기태,Malignant hydatidiform mole,암
D42.0,뇌막의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of cerebral meninges,뇌혈관
D43.0,뇌실의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of cerebral ventricle,뇌혈관
D45,진성 적혈구증가증은  ICD-O 제3판에서는 행동양식분류코드 /3인 악성 형태분류코드로 재분류된다. D45는 분류체계상 ´행동양식 불명 또는 미상의 신생물(D37-D48)에 위치하더라도 행동양식 측면에서는 ´악성 신생물(C00-C97)´으로 볼 수 있다. 분류의 수정은 ICD-11 개정판에 수록될 예정이다.,"Polycythaemia vera has been reclassified in ICD-O Third Edition with a malignant code. The code D45 will continue to be used, although it is located in the chapter for Neoplasms of uncertain or unknown behaviour. The modification of its classification is reserved to the revision of ICD.",암
D48,신경섬유종증(비악성)(Q85.0),Neurofibromatosis(nonmalignant)(Q85.0),암
D48.7,심장의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of heart,심장
D76,악성 조직구증(C96.8),Malignant histiocytosis(C96.8),암
D76,악성 세망증 NOS(C86.0),Malignant reticulosis NOS(C86.0),암
E05,갑상선(갑상선독증) 심장질환(I43.8*),Thyroid (thyrotoxic) heart disease(I43.8*) ,심장
E05.0,미만성 고이터를 동반한 갑상선독증에 합병된 심장질환(I43.8*),Thyrotoxicosis with diffuse goitre combined with heart disease(I43.8*),심장
E05.0,안구돌출성 또는 독성 고이터 NOS에 합병된 심장질환(I43.8*),Exophthalmic or toxic goitre NOS combined with heart disease(I43.8*),심장
E05.0,그레이브스병에 합병된 심장질환(I43.8*),Graves’ disease combined with heart disease(I43.8*),심장
E05.0,독성 미만성 고이터에 합병된 심장질환(I43.8*),Toxic diffuse goitre combined with heart disease(I43.8*),심장
E05.1,독성 단일 갑상선결절을 동반한 갑상선독증에 합병된 심장질환(I43.8*),Thyrotoxicosis with toxic single thyroid nodule combined with heart disease(I43.8*),심장
E05.1,독성 단일결절성 고이터를 동반한 갑상선독증에 합병된 심장질환(I43.8*),Thyrotoxicosis with toxic uninodular goitre combined with heart disease(I43.8*),심장
E05.2,독성 다결절성 고이터를 동반한 갑상선독증에 합병된 심장질환(I43.8*),Thyrotoxicosis with toxic multinodular goitre combined with heart disease(I43.8*),심장
E05.2,독성 결절성 고이터 NOS에 합병된 심장질환(I43.8*),Toxic nodular goitre NOS combined with heart disease(I43.8*),심장
E05.3,이소성 갑상선조직에서 유래한 갑상선독증에 합병된 심장질환(I43.8*),Thyrotoxicosis from ectopic thyroid tissue combined with heart disease(I43.8*),심장
E05.4,인공적 갑상선독증에 합병된 심장질환(I43.8*),Thyrotoxicosis factitia combined with heart disease(I43.8*),심장
E05.5,갑상선독성 발증 또는 발작에 합병된 심장질환(I43.8*),Thyrotoxic crisis or storm combined with heart disease(I43.8*),심장
E05.8,기타 갑상선독증에 합병된 심장질환(I43.8*),Other thyrotoxicosis combined with heart disease(I43.8*),심장
E05.8,갑상선자극호르몬의 과잉생산에 합병된 심장질환(I43.8*),Overproduction of thyroid-stimulating hormone combined with heart disease(I43.8*),심장
E05.9,상세불명의 갑상선독증에 합병된 심장질환(I43.8*),"Thyrotoxicosis, unspecified combined with heart disease(I43.8*)",심장
E05.9,갑상선기능항진증 NOS에 합병된 심장질환(I43.8*),Hyperthyroidism NOS combined with heart disease(I43.8*),심장
E05.9,무증상 갑상선중독증에 합병된 심장질환(I43.8*),Subclinical thyrotoxicosis combined with heart disease(I43.8*),심장
E10-E14,당뇨병(E10-E14),Diabetes mellitus(E10-E14),당뇨
E10-E14,다음 4단위 및 5단위 세분류는 당뇨병의 합병증을 나타내기 위해 E10 - E14에 사용한다.,The following fourth-character subdivisions are for use with categories E10-E14:,당뇨
E10-E14,08 당뇨병성 저혈당성 혼수,08 Diabetic hypoglycaemic coma,당뇨
E10-E14,20 초기 당뇨병성 신장병증을 동반한(N08.3*),20 With incipient diabetic nephropathy(N08.3*),당뇨
E10-E14,20 사구체 기저막의 비후를 동반한 당뇨병(N08.3*),20 Diabetes mellitus with glomerular basement-membrane thickening(N08.3*),당뇨
E10-E14,20 사구체 메산지음 확장을 동반한 당뇨병(N08.3*),20 Diabetes mellitus with glomerular mesangial expansion(N08.3*),당뇨
E10-E14,20 초기 당뇨병성 신장병증(조기)(가역적)을 동반한 당뇨병(N08.3*),20 Diabetes mellitus with incipient diabetic nephropathy(early)(reversible)(N08.3*),당뇨
E10-E14,20 미세알부민뇨(지속적)(일정한)를 동반한 당뇨병(N08.3*),20 Diabetes mellitus with microalbuminuria(persistent)(constant)(N08.3*),당뇨
E10-E14,21 확정된 당뇨병성 신장병증을 동반한 당뇨병(N08.3*),21 Diabetes mellitus with established diabetic nephropathy(N08.3*),당뇨
E10-E14,21 사구체경화증(미만성)(모세혈관내)(결절성)을 동반한 당뇨병(N08.3*),21 Diabetes mellitus with glomerulosclerosis (diffuse)(intracapillary)(nodular)(N08.3*),당뇨
E10-E14,21 키멜스틸-윌슨증후군을 동반한 당뇨병(N08.3*),21 Diabetes mellitus with kimmelstiel-Wilson syndrome(N08.3*),당뇨
E10-E14,21 마크로알부민뇨를 동반한 당뇨병(N08.3*),21 Diabetes mellitus with macroalbuminuria(N08.3*),당뇨
E10-E14,21 신장질환(진행된)(NOS)(진행형)을 동반한 당뇨병(N08.3*),21 Diabetes mellitus with nephropathy (advanced)(NOS (progressive)(N08.3*),당뇨
E10-E14,21 단백뇨(고정된)(지속적)를 동반한 당뇨병(N08.3*),21 Diabetes mellitus with proteinuria (fixed)(persistent)(N08.3*),당뇨
E10-E14,22 만성 신부전을 동반한 당뇨병(N08.3*),22 Diabetes mellitus with chronic renal failure(N08.3*),당뇨
E10-E14,22 신장기능장애를 동반한 당뇨병 NOS(N08.3*),22 Diabetes mellitus with renal impairment NOS(N08.3*),당뇨
E10-E14,28 급성 신부전을 동반한 당뇨병(N08.3*),28 Diabetes mellitus with acute renal failure(N08.3*),당뇨
E10-E14,28 급성 신장기능장애를 동반한 당뇨병(N08.3*),28 Diabetes mellitus with acute renal impairment(N08.3*),당뇨
E10-E14,28 수질(유두)괴사를 동반한 당뇨병(N08.3*),28 Diabetes mellitus with medullary (papillary) necrosis(N08.3*),당뇨
E10-E14,31 당뇨병성 비증식성 망막병증을 동반한(H36.0*),31 With diabetic nonproliferative retinopathy(H36.0*),당뇨
E10-E14,31 망막내 미세혈관이상(면화반점)을 동반한 당뇨병(H36.0*),"31 Diabetes mellitus with intraretinal microvascular abnormality(IRMA) , cotton-wool spot(H36.0*)",당뇨
E10-E14,31 망막내 미세혈관이상(출혈(반점)(둥근)(작은))을 동반한 당뇨병(H36.0*),"31 Diabetes mellitus with intraretinal microvascular abnormality(IRMA), hemorrhage(blotchy)(round)(small)(H36.0*)",당뇨
E10-E14,31 망막내 미세혈관이상(허혈)을 동반한 당뇨병(H36.0*),"31 Diabetes mellitus with intraretinal microvascular abnormality(IRMA), ischemia(H36.0*)",당뇨
E10-E14,"31 망막내 미세혈관이상(정맥 염주, 고리, 중복)을 동반한 당뇨병(H36.0*)","31 Diabetes mellitus with intraretinal microvascular abnormality(IRMA), venous beading, looping, reduplication(H36.0*)",당뇨
E10-E14,32 당뇨병성 증식성 망막병증을 동반한(H36.0*),32 With diabetic proliferative retinopathy(H36.0*),당뇨
E10-E14,32 망막전출혈을 동반한 당뇨병(H36.0*),32 Diabetes mellitus with preretinal haemorrhage(H36.0*),당뇨
E10-E14,32 유리체출혈을 동반한 당뇨병(H36.0*),32 Diabetes mellitus with vitreous haemorrhage(H36.0*),당뇨
E10-E14,32 혈관신생을 동반한 당뇨병(H36.0*),32 Diabetes mellitus with new vessel formation (neovascularization)(H36.0*),당뇨
E10-E14,32 망막의 견인을 동반한 당뇨병(H36.0*),32 Diabetes mellitus with retinal traction(H36.0*),당뇨
E10-E14,33 망막출혈(점-얼룩)(불꽃모양)을 동반한 당뇨병(H36.0*),33 Diabetes mellitus with retinal haemorrhage (dot and blot)(flame-shaped)(H36.0*),당뇨
E10-E14,33 망막 경성 삼출물을 동반한 당뇨병(H36.0*),33 Diabetes mellitus with retinal hard exudate(H36.0*),당뇨
E10-E14,33 망막미세동맥류를 동반한 당뇨병(H36.0*),33 Diabetes mellitus with retinal microaneurysms(H36.0*),당뇨
E10-E14,33 황반부종(국소성)(전반적)(망막내)을 동반한 당뇨병(H36.0*),33 Diabetes mellitus with macular oedema (focal)(generalized) (intraretinal)(H36.0*),당뇨
E10-E14,33 황반병증(고리모양의)(허혈성)을 동반한 당뇨병(H36.0*),33 Diabetes mellitus with maculopathy (circinate)(ischaemic)(H36.0*),당뇨
E10-E14,33 망막비후를 동반한 당뇨병(H36.0*),33 Diabetes mellitus with retinal thickening(H36.0*),당뇨
E10-E14,33 망막병증 NOS(H36.0*),33 Diabetes mellitus with retinopathy NOS(H36.0*),당뇨
E10-E14,34 당뇨병성 백내장을 동반한(H28.0*),34 With diabetic cataract(H28.0*),당뇨
E10-E14,40 당뇨병성 단일신경병증을 동반한,40 With diabetic mononeuropathy,당뇨
E10-E14,40 근위축을 동반한 당뇨병(G73.0*),40 Diabetes mellitus with amyotrophy(G73.0*),당뇨
E10-E14,"40 뇌신경마비- III(동안), VI(외전)을 동반한 당뇨병(G59.0*)","40 Diabetes mellitus with cranial nerve palsy-III(oculomotor), VI(abducens)(G59.0*)",당뇨
E10-E14,40 대퇴신경병증을 동반한 당뇨병(G59.0*),40 Diabetes mellitus with femoral neuropathy(G59.0*),당뇨
E10-E14,40 다발성 단일신경염을 동반한 당뇨병(G59.0*),40 Diabetes mellitus with mononeuritis multiplex(G59.0*),당뇨
E10-E14,40 단일신경병증을 동반한 당뇨병(G59.0*),40 Diabetes mellitus with mononeuropathy(G59.0*),당뇨
E10-E14,40 근무력증후군을 동반한 당뇨병(G73.0*),40 Diabetes mellitus with myasthenic syndrome(G73.0*),당뇨
E10-E14,40 중증근무력증을 동반한 당뇨병(G73.0*),40 Diabetes mellitus with myasthenia gravis(G73.0*),당뇨
E10-E14,40 안근마비를 동반한 당뇨병(G59.0*),40 Diabetes mellitus with ophthalmoplegia(G59.0*),당뇨
E10-E14,"40 신경뿌리병증 - 흉부, 몸통을 동반한 당뇨병(G59.0*)","40 Diabetes mellitus with radiculopathy - thoracic, truncal(G59.0*)",당뇨
E10-E14,41 당뇨병성 다발신경병증을 동반한(G63.2*),41 With diabetic polyneuropathy(G63.2*),당뇨
E10-E14,41 인슐린신경염을 동반한 당뇨병(G63.2*),41 Diabetes mellitus with insulin neuritis(G63.2*),당뇨
E10-E14,41 말초신경병증(원위대칭적)(선택적 소섬유)(감각운동의)을 동반한 당뇨병(G63.2*),41 Diabetes mellitus with peripheral neuropathy (distal symmetrical)(selective small fibre)(sensorimotor)(G63.2*),당뇨
E10-E14,42 당뇨병성 자율신경병증을 동반한(G99.0*),42 With diabetic autonomic neuropathy(G99.0*),당뇨
E10-E14,42 이상발한을 동반한 당뇨병(G99.0*),42 Diabetes mellitus with abnormal sweating (gustatory)(G99.0*),당뇨
E10-E14,42 항문직장의 기능이상을 동반한 당뇨병(G99.0*),42 Diabetes mellitus with anorectal dysfunction(G99.0*),당뇨
E10-E14,42 설사(기능성)를 동반한 당뇨병(G99.0*),42 Diabetes mellitus with diarrhea (functional)(G99.0*),당뇨
E10-E14,42 발기부전을 동반한 당뇨병(G99.0*),42 Diabetes mellitus with erectile failure (impotence)(G99.0*),당뇨
E10-E14,42 위마비를 동반한 당뇨병(G99.0*),42 Diabetes mellitus with gastroparesis(G99.0*),당뇨
E10-E14,42 저긴장성 방광을 동반한 당뇨병(G99.0*),42 Diabetes mellitus with hypotonic bladder(G99.0*),당뇨
E10-E14,42 신경병성 부종을 동반한 당뇨병(G99.0*),42 Diabetes mellitus with neuropathic edema(G99.0*),당뇨
E10-E14,42 식도기능이상을 동반한 당뇨병(G99.0*),42 Diabetes mellitus with oesophageal dysfunction(G99.0*),당뇨
E10-E14,42 체위성 저혈압을 동반한 당뇨병(G99.0*),42 Diabetes mellitus with postural hypotension(G99.0*),당뇨
E10-E14,"50 당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는(I79.2*)","50 With diabetic peripheral angiopathy, without gangrene(I79.2*)",당뇨
E10-E14,50 간헐성 파행을 동반한 당뇨병(I79.2*),50 Diabetes mellitus with intermittent claudication(I79.2*),당뇨
E10-E14,50 상세불명의 말초혈관질환을 동반한 당뇨병(I79.2*),"50 Diabetes mellitus with peripheral vascular disease, unspecified(I79.2*)",당뇨
E10-E14,50 동맥연축을 동반한 당뇨병(I79.2*),50 Diabetes mellitus with spasm of artery(I79.2*),당뇨
E10-E14,50 당뇨병성 족부궤양을 동반한 당뇨병(E1-.70),50 Diabetes mellitus with diabetic foot ulcer(E1-.70),당뇨
E10-E14,"51 당뇨병성 말초혈관병증을 동반한, 괴저를 동반한(I79.2*)","51 With diabetic peripheral angiopathy, with gangrene(I79.2*)",당뇨
E10-E14,51 당뇨병성 족부궤양 및 괴저를 동반한 당뇨병(E1-.71),51 Diabetes mellitus with diabetic foot ulcer and gangrene(E1-.71),당뇨
E10-E14,60 신경병성 당뇨병성(샤르코)관절병증을 동반한 당뇨병(M14.6*),60 Diabetes mellitus with neuropathic diabetic (Charcot’s) arthropathy,당뇨
E10-E14,60 당뇨병성 손증후군(손관절병증)을 동반한 당뇨병(M14.2*),60 Diabetes mellitus with diabetic hand syndrome (cheiroarthropathy),당뇨
E10-E14,60 당뇨병성 관절병증을 동반한 당뇨병(M14.2*),60 Diabetes mellitus with diabetic arthropathy(M14.2*),당뇨
E10-E14,60 당뇨병성 골병증을 동반한 당뇨병(M90.8*),60 Diabetes mellitus with diabetic osteopathy(M90.8*),당뇨
E10-E14,60 골다공증을 동반한 당뇨병(M82.1*),60 Diabetes mellitus with osteoporosis(M82.1*),당뇨
E10-E14,61 수포(당뇨병성 수포증)을 동반한 당뇨병(L14*),61 Diabetes mellitus with bullae (bullosis diabeticorum)(L14*),당뇨
E10-E14,"61 피부병증 - 홍반, 홍조, 정강이반점, 비후피부를 동반한 당뇨병(L99.8*)","61 Diabetes mellitus with dermatopathy - erythema, rubeosis, shin spots, thick skin(L99.8*)",당뇨
E10-E14,61 손발톱주위 모세혈관확장증을 동반한 당뇨병(L62.8*),61 Diabetes mellitus with periungual telangiectasia(L62.8*),당뇨
E10-E14,61 당뇨병성 리포이드생괴사를 동반한 당뇨병(L99.8*),61 Diabetes mellitus with necrobiosis lipoidica diabeticorum(NLD)(L99.8*),당뇨
E10-E14,62 치주농양을 동반한 당뇨병,62 Diabetes mellitus with periodontal abscess,당뇨
E10-E14,62 치주염(급성)(만성)을 동반한 당뇨병,62 Diabetes mellitus with periodontitis (acute)(chronic),당뇨
E10-E14,62 치주질환을 동반한 당뇨병 NOS,62 Diabetes mellitus with periodontal disease NOS,당뇨
E10-E14,70 당뇨병성 족부궤양을 동반한,70 With diabetic foot ulcer,당뇨
E10-E14,71 당뇨병성 족부궤양 및 괴저를 동반한,71 With diabetic foot ulcer and gangrene,당뇨
E10-E14,72 기타 및 상세불명의 당뇨병성 족부합병증을 동반한,72 With other and unspecified diabetic foot complications,당뇨
E10,1형 당뇨병,Type 1 diabetes mellitus,당뇨
E10,불안정당뇨병(진성),Brittle diabetes(mellitus),당뇨
E10,연소-발병당뇨병(진성),Juvenile-onset diabetes(mellitus),당뇨
E10,케톤증-경향당뇨병(진성),Ketosis-prone diabetes(mellitus),당뇨
E10,영양실조-관련 당뇨병(E12.-),Malnutrition-related diabetes mellitus(E12.-),당뇨
E10,신생아당뇨병(P70.2),Neonatal diabetes mellitus(P70.2),당뇨
E10,"임신, 출산 및 산후기의 당뇨병(O24.-)","Diabetes mellitus in pregnancy, childbirth and the puerperium(O24.-)",당뇨
E10,당뇨 NOS(R81),Glycosuria NOS(R81),당뇨
E10,신장성 당뇨(E74.8),Renal glycosuria(E74.8),당뇨
E10.0,혼수를 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with coma",당뇨
E10.0 ,혼수를 동반한 불안정당뇨병(진성),"Brittle diabetes (mellitus), with coma",당뇨
E10.0 ,혼수를 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes(mellitus), with coma",당뇨
E10.0 ,혼수를 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with coma",당뇨
E10.00,고삼투압과 혼수를 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with coma, with hyperosmolarity",당뇨
E10.00,고삼투압과 혼수를 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with coma, with hyperosmolarity",당뇨
E10.00,고삼투압과 혼수를 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with coma, with hyperosmolarity",당뇨
E10.00,고삼투압과 혼수를 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with coma, with hyperosmolarity",당뇨
E10.00,고혈당 혼수를 동반한 1형 당뇨병 NOS,"Type 1 diabetes mellitus, with hyperglycaemic coma NOS",당뇨
E10.00,고혈당 혼수를 동반한 불안정당뇨병(진성) NOS,"Brittle diabetes(mellitus), with hyperglycaemic coma NOS",당뇨
E10.00,고혈당 혼수를 동반한 연소-발병당뇨병(진성) NOS,"Juvenile-onset diabetes (mellitus), with hyperglycaemic coma NOS",당뇨
E10.00,고혈당 혼수를 동반한 케톤증-경향당뇨병(진성) NOS,"Ketosis-prone diabetes (mellitus), with hyperglycaemic coma NOS",당뇨
E10.00,케톤산증을 동반하지 않는 고혈당-고삼투압성 혼수를 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with nonketotic hyperglycemic-hyperosmolar coma(NKHHC)",당뇨
E10.00,케톤산증을 동반하지 않는 고혈당-고삼투압성 혼수를 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with nonketotic hyperglycemic-hyperosmolar coma(NKHHC)",당뇨
E10.00,케톤산증을 동반하지 않는 고혈당-고삼투압성 혼수를 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with nonketotic hyperglycemic-hyperosmolar coma(NKHHC)",당뇨
E10.00,케톤산증을 동반하지 않는 고혈당-고삼투압성 혼수를 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with nonketotic hyperglycemic-hyperosmolar coma(NKHHC)",당뇨
E10.01,혼수와 케토산증을 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with coma, with ketoacidosis",당뇨
E10.01,혼수와 케토산증을 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with coma, with ketoacidosis",당뇨
E10.01,혼수와 케토산증을 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with coma, with ketoacidosis",당뇨
E10.01,혼수와 케토산증을 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with coma, with ketoacidosis",당뇨
E10.02,혼수와 젖산증을 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with coma, with lactic acidosis",당뇨
E10.02,혼수와 젖산증을 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with coma, with lactic acidosis",당뇨
E10.02,혼수와 젖산증을 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with coma, with lactic acidosis",당뇨
E10.02,혼수와 젖산증을 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with coma, with lactic acidosis",당뇨
E10.03,혼수와 케토산증 및 젖산증을 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with coma, with ketoacidosis, with lactic acidosis",당뇨
E10.03,혼수와 케토산증 및 젖산증을 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with coma, with ketoacidosis, with lactic acidosis",당뇨
E10.03,혼수와 케토산증 및 젖산증을 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with coma, with ketoacidosis, with lactic acidosis",당뇨
E10.03,혼수와 케토산증 및 젖산증을 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with coma, with ketoacidosis, with lactic acidosis",당뇨
E10.08,기타 및 상세불명의 혼수를 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with coma, other and unspecified",당뇨
E10.08,기타 및 상세불명의 혼수를 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with coma, other and unspecified",당뇨
E10.08,기타 및 상세불명의 혼수를 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with coma, other and unspecified",당뇨
E10.08,기타 및 상세불명의 혼수를 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with coma, other and unspecified",당뇨
E10.08,당뇨병성 저혈당성 혼수를 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with diabetic hypoglycaemic coma",당뇨
E10.08,당뇨병성 저혈당성 혼수를 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with diabetic hypoglycaemic coma",당뇨
E10.08,당뇨병성 저혈당성 혼수를 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with diabetic hypoglycaemic coma",당뇨
E10.08,당뇨병성 저혈당성 혼수를 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with diabetic hypoglycaemic coma",당뇨
E10.1,산증을 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with acidosis",당뇨
E10.1,산증을 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with acidosis",당뇨
E10.1,산증을 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with acidosis",당뇨
E10.1,산증을 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with acidosis",당뇨
E10.10,케토산증을 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with ketoacidosis",당뇨
E10.10,케토산증을 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with ketoacidosis",당뇨
E10.10,케토산증을 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with ketoacidosis",당뇨
E10.10,케토산증을 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with ketoacidosis",당뇨
E10.11,젖산증을 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with lactic acidosis",당뇨
E10.11,젖산증을 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with lactic acidosis",당뇨
E10.11,젖산증을 동반한 연소-발병당뇨병(진성),"Juvenile-onset diabetes (mellitus), with lactic acidosis",당뇨
E10.11,젖산증을 동반한 케톤증-경향당뇨병(진성),"Ketosis-prone diabetes (mellitus), with lactic acidosis",당뇨
E10.12,케토산증 및 젖산증을 동반한 1형 당뇨병,"Type 1 diabetes mellitus, with ketoacidosis, with lactic acidosis",당뇨
E10.12,케토산증 및 젖산증을 동반한 불안정당뇨병(진성),"Brittle diabetes(mellitus), with ketoacidosis, with lactic acidosis",당뇨
